1	51.6170569971	-3.7259562931	1276	4411		919	16073	5034		489
2	53.1339845939	-3.8465489811		10734			7336	5786		632
3	57.1656950554	-2.1612074513	635	4666			16746	7001	8385	
4	57.1207132742	-2.1819499272	529	8914	413		15722	12216	5102	
5	57.0411115835	-2.8592460824	513	13678			6159	17362	7086	397
6	55.8506379067	-3.8717669938		3133		528	20849	2898	8441	
7	51.285408084	-0.7770004299		21203			5489	15617		2041
8	52.6143223813	-1.9281619617		22913	847		7647	6833		
9	53.3935179772	-2.3657133317		24176			11073	12581		1563
10	53.1648146367	-3.041333282	1368	12885			15804	7308		1009
11	53.0399460492	-1.3999994819	3195	17746			17210	6636		906
12	56.7462933348	-2.9160515158		11738			6535	4090	15020	577
13	54.832336	-5.883179								
14	54.993374	-6.328125								
15	54.699234	-6.102905								
16	53.1367280778	-4.1415934529		4416			7928	3666		685
17	56.123561212	-5.501506696		10861	789	272	10274	14292	8563	
18	50.9277933764	-0.4546672599		32333			4835	15642		3172
19	53.0930638382	-1.2720119452	2781	10698		396	16239	16047		933
20	51.1284559662	0.7914055487		29878	1014		9204	12581		2508
21	53.4977956897	-2.116386308	2929	9510			18604	5703		1686
22	51.7320700828	-0.7980793292		27736			6695	15118		3613
23	55.2755616523	-4.5777892102		11721			21632	4264	8276	
24	55.5562312025	-4.5677385993		8943			20950	5236	8364	
25	55.652655329	-5.0089335702		7212			21860	4630	11965	
26	51.9910676403	-1.2863027818		29703	959	524	10773	11476		2806
27	57.549160635	-2.2675504089	1010	11841			5382	4365	15868	
28	51.536791492	0.1165883601	6620	8073	317	77	24628	3719		1300
29	53.576514734	-1.4884803998	3307	6388		732	17487	6394		1727
30	53.5426655258	-1.407742667	3301	6329		712	18059	6969		1731
31	54.1901874189	-3.1600607945	840	16018	530	245	21226	4424		841
32	51.6036129706	0.4355632094	1934	21922			9584	6538		1591
33	51.5279703994	0.4376506988	2518	19624			13852	5977		2639
34	51.2664810184	-1.0658936398		25590			10327	12414		2076
35	53.3549205793	-0.9885889838		16803		407	25018	5570		1779
36	51.3802414533	-2.3667312098		14768	1120	56	3251	26651		890
37	53.7232547221	-1.684553495	3685	17159	605		21565	8095		
